# Time-averaged data for fix flux_out
# TimeStep c_flux[1] c_flux[2] c_flux[3]
54900 -5781.3 -3451.3 -62.0175
55000 -6008.49 -3777.68 -367.943
55100 -6191.91 -3644.9 -486.223
55200 -6817.4 -4197.17 -174.177
55300 -7122.48 -4451.26 -71.9137
55400 -7612.25 -4557.62 -310.29
55500 -8241.11 -5083.18 -406.998
55600 -8886.2 -5323.17 -125.936
55700 -9215.32 -5347.68 7.96518
55800 -9676.74 -5724.63 -390.248
55900 -10046.1 -6098.46 -430.393
56000 -10100.8 -6137.7 -95.4509
56100 -9862.8 -6025.66 -112.828
56200 -9667.91 -5803.95 -524.353
56300 -9091.14 -5498.96 -667.483
56400 -7842.93 -4897.68 -235.044
56500 -6520.26 -4129.43 -270.054
56600 -5197.34 -3236.97 -616.734
56700 -3395.28 -2264.9 -519.924
56800 -1188.51 -1033 -108.923
56900 603.928 112.481 -190.097
57000 2628.18 1273.07 -433.97
57100 4639.4 2539.57 -248.074
57200 6594.85 3483.24 51.118
57300 8241.89 4462.3 -10.4492
57400 9660.31 5327.25 -325.326
57500 10694 5883.34 -282.451
57600 11360 6420.46 -7.39461
57700 11856.8 6528.29 -220.465
57800 12176.6 6877.86 -459.825
57900 11910.6 6672.88 -348.159
58000 11945.4 6636.74 -139.731
58100 11319.9 6467.84 -361.712
58200 10997.6 5943.77 -508.37
58300 10384.6 5680.32 -341.235
58400 9678.74 5364.25 -215.082
58500 9313.89 5296.91 -351.051
58600 8735.09 4865.08 -470.67
58700 8474.71 4700.64 -283.281
58800 8128.94 4498.22 -141.452
58900 7712.8 4381.67 -411.232
59000 7361.72 4213.68 -432.417
59100 7355.28 4111.84 -224.849
59200 7299.62 4082.41 -171.747
59300 7449.49 4149.46 -347.706
59400 7259.31 4220.94 -430.801
59500 7444.98 4187.07 -156.251
59600 7780.97 4214.18 -162.805
59700 8085.18 4333.43 -397.601
59800 8344.4 4648.94 -315.862
59900 8752.69 4802.36 -110.735
60000 9259.75 5245.89 -163.791
60100 9827.46 5381.67 -331.283
60200 10473.3 5879.55 -303.024
60300 10773.5 5894.42 -66.0725
60400 11363.1 6092.5 -239.454
60500 11522.1 6473.01 -318.516
60600 12004 6626.07 -246.686
60700 11796.1 6641.77 -138.362
60800 11663.8 6304.82 -339.964
60900 11289.7 6064.12 -483.486
61000 10374.9 5794.18 -448.494
61100 9229.98 4957.2 -208.622
61200 7791.81 4032.86 -440.954
61300 6054.25 3165.44 -672.903
61400 4195.01 1935.92 -301.169
61500 2101.01 964.025 -102.598
61600 141.115 -215.521 -334.428
61700 -1767.96 -1387.38 -440.195
61800 -3955.56 -2486.98 -1.60868
61900 -5583.5 -3616.37 87.1103
62000 -6925.15 -4376.16 -243.881
62100 -8393.9 -5054.45 -366.292
62200 -9270.17 -5540.72 -17.9785
62300 -9836.12 -5985.17 22.2118
62400 -10330.6 -6197.95 -450.283
62500 -10090 -6174.49 -511.861
62600 -10115.4 -6023.43 -109.279
62700 -9777.88 -5745.41 -159.021
62800 -9381.84 -5595.68 -557.346
62900 -8647.97 -5266.39 -472.039
63000 -8101.13 -4974.8 -156.96
63100 -7727.89 -4554.45 -185.029
63200 -7121.95 -4350.87 -469.782
63300 -7020.87 -4025.29 -536.017
63400 -6292.19 -3847.1 -119.86
63500 -6161.06 -3654.09 -236.91
63600 -5666.79 -3402.41 -532.063
63700 -5774.29 -3156.75 -390.355
63800 -5561.66 -3504.24 -64.1882
63900 -5678.84 -3118.75 -203.885
64000 -5554.46 -3448.68 -498.675
64100 -5749.39 -3458.38 -333.251
64200 -6071.57 -3466.05 -2.23824
64300 -6269.05 -3693.56 -187.146
64400 -6624.92 -3859.14 -470.431
64500 -6885.62 -3961.01 -384.507
64600 -7625.71 -4255.86 -2.78511
64700 -7839.24 -4808.24 -135.628
64800 -8483.09 -4990.56 -530.775
64900 -8959.83 -5138.43 -268.67
65000 -9501.95 -5532.34 25.7846
65100 -10064.6 -5910.87 -137.389
65200 -10153 -6010.57 -503.342
65300 -10450.6 -5983.94 -343.124
65400 -10276 -6090.05 -136.239
65500 -9914.31 -5772.94 -319.707
65600 -9163.63 -5267.33 -649.128
65700 -7981.56 -4652.75 -494.675
65800 -6868.76 -4107.75 -252.661
65900 -5346.18 -3094.43 -348.141
66000 -3484.98 -2132.97 -620.204
66100 -1645.47 -1068.66 -309.393
66200 522.763 245.405 -8.92771
66300 2542.72 1501.58 -242.757
66400 4610.17 2476.8 -485.889
66500 6415.61 3539.69 -110.474
66600 8044.25 4495.33 105.718
66700 9408.21 5485.88 -202.729
66800 10356.2 5953.69 -406.821
66900 11211.1 6329.51 -53.8396
67000 11631.2 6645.67 -34.6149
67100 11658.1 6754.16 -358.461
67200 11640.7 6874.72 -576.682
67300 11601.4 6475.11 -219.379
67400 10958.3 6652.56 -171.788
67500 10279.2 6176.99 -450.659
67600 9968.08 5928.11 -502.488
67700 9229.55 5587.2 -248.569
67800 8833.53 5249.07 -118.175
67900 8326.65 5140.34 -455.954
68000 7816.74 4877.03 -531.261
68100 7373.4 4568.77 -168.973
68200 7312.11 4486.41 -140.308
68300 7017.04 4174.51 -373.606
68400 6986.8 4138.94 -445.143
68500 6801.28 4131.24 -169.798
68600 6855.56 3887.56 -64.8842
68700 7011.3 4066.54 -468.312
68800 7254.04 4295.75 -464.106
68900 7535.68 4126.53 -149.123
69000 7766.89 4202.45 -98.75
69100 8251.04 4552.54 -440.385
69200 8593.73 4837.33 -363.008
69300 9350.5 4958.92 -70.8766
69400 9862.85 5389.99 -144.681
69500 10296 5738 -342.734
69600 10844.1 5885.06 -319.098
69700 11254.8 6500.99 -135.083
69800 11561.5 6373.39 -86.3265
69900 11640.3 6639.75 -389.294
70000 11663.6 6675.03 -406.474
70100 11553.9 6483.17 -215.523
70200 10891.2 6411.86 -277.86
70300 10112.7 5761.89 -559.074
70400 8920.78 5058.6 -467.15
70500 7481.18 4049.13 -281.694
70600 5773.39 3353.34 -344.511
70700 3781.18 2086.5 -461.708
70800 1930.53 920.775 -392.071
70900 -130.839 -116.672 -144.034
71000 -2234.76 -1416.38 -146.753
71100 -4100.89 -2479.68 -296.743
71200 -5882.49 -3414.84 -140.225
71300 -7215.26 -4383.86 9.48132
71400 -8528.77 -5099.36 -67.5047
71500 -9427.97 -5608.83 -372.89
71600 -10179.3 -5872.76 -249.596
71700 -10306.1 -5860.23 -79.0837
71800 -10525.1 -6008.01 -271.33
71900 -10247 -5776.92 -528.796
72000 -9903.32 -5602.12 -291.564
72100 -9620.62 -5199.01 -138.26
72200 -8930.42 -4836.71 -342.864
72300 -8670.03 -4556.55 -544.994
72400 -8164.01 -4150.51 -319.988
72500 -7626.91 -3802.65 -68.9844
72600 -7199.38 -3405.81 -415.145
72700 -6767.78 -3496.98 -545.806
72800 -6478.52 -3152.52 -185.306
72900 -6247.54 -3049.49 -146.759
73000 -5958.07 -2974.7 -424.396
73100 -5854.53 -3110.78 -430.68
73200 -5825.35 -3289.27 -158.305
73300 -5870.29 -3160.77 -155.865
73400 -5988.24 -3353.84 -333.366
73500 -6148.16 -3584.43 -501.244
73600 -6330.79 -3926.4 -102.531
73700 -6463.97 -4183.14 -148.717
73800 -6972.24 -4296.59 -422.075
73900 -7521.56 -4580.5 -339.202
74000 -7833.16 -5073.92 -77.8081
74100 -8474.16 -5293.76 -122.164
74200 -8944.71 -5433.17 -384.22
74300 -9451.02 -5814.35 -383.578
74400 -9922.27 -5909.04 -45.2802
74500 -10037.9 -6064.34 -155.262
74600 -10393.2 -6279.12 -430.743
74700 -10287.7 -6048.52 -363.754
74800 -9876.16 -5709.93 -141.752
74900 -9344.04 -5380.95 -318.763
75000 -8217.98 -4869.59 -622.358
75100 -6917.46 -4095.95 -492.799
75200 -5436.96 -3174.73 -188.012
75300 -3521.56 -1927.1 -431.622
75400 -1583.79 -863.462 -526.497
75500 459.284 244.178 -282.422
75600 2476.61 1443.54 -43.3107
75700 4511.52 2529.71 -150.478
75800 6564.25 3596.31 -294.42
